token,lemma,pronoun_type
-minule,mina,ps1
-mis,mis,inter_rel
-missugused,missugune,inter_rel
-mul,mina,ps1
-mulle,mina,ps1
-must,mina,ps1
-muu,muu,indef
-muuta,muu,indef
-mõlemad,mõlema,det
-mõned,mõni,indef
-mõni,mõni,indef
-mõningane,mõningane,indef
-nad,tema,ps3
-need,see,dem
-neid,see,dem
-neid,tema,ps3
-neil,see,dem
-neil,tema,ps3
-neile,see,dem
-neile,tema,ps3
-neilt,see,dem
-neilt,tema,ps3
-nemad,tema,ps3
-nende,see,dem
-nende,tema,ps3
-oma,oma,pos det refl
-palju,palju,indef
-paljud,palju,indef
-paljude,palju,indef
-sa,sina,ps2
-sama,sama,dem
-seda,see,dem
-sedagi,see,dem
-see,see,dem
-seks,see,dem
-sel,see,dem
-selle,see,dem
-sellega,see,dem
-selleks,see,dem
-sellele,see,dem
-selles,see,dem
-sellest,see,dem
-selline,selline,dem
-selliseid,selline,dem
-selt,see,dem
-ses,see,dem
-sest,see,dem
-susse,sina,ps2
-ta,tema,ps3
-ta-,tema,ps3
-tal,tema,ps3
-talle,tema,ps3
-taoline,taoline,dem
-taolise,taoline,dem
-taolised,taoline,dem
-taolisega,taoline,dem
-taolises,taoline,dem
-taolisi,taoline,dem
-taolisse,taoline,dem
-taolist,taoline,dem
-taoliste,taoline,dem
-taolistes,taoline,dem
-taolistest,taoline,dem
-tas,tema,ps3
-te,sina,ps2
-teda,tema,ps3
-teid,sina,ps2
-teine,teine,dem
-teisel,teine,dem
-teist,sina,ps2
-teist,teine,dem
-teiste,teine,dem
-teistele,teine,dem
-tema,tema,ps3
-temal,tema,ps3
-temale,tema,ps3
-too,too,dem
-Ühe,üks,dem indef
-Ühed,üks,dem indef
-Üks,üks,dem indef
-ühe,üks,dem indef
-ühed,üks,dem indef
-ühegi,üks,dem indef
-ühel,üks,dem indef
-ühele,üks,dem indef
-ühelt,üks,dem indef
-ühtegi,üks,dem indef
-üks,üks,dem indef
0-ise,0-ise,pos det refl
000-sel,000-see,dem
000-ses,000-see,dem
002te,002sina,ps2
00midagi,00miski,indef
055NAT-iga,055NAT-iga,det
09Ma,09mina,ps1
09Mingit,09mingi,indef
09See,09see,dem
09meie,09mina,ps1
0Sellest,0see,dem
0kes,0kes,inter_rel
0ma,0mina,ps1
0mitmes,0mitmes,inter_rel indef
0mitmes,0mitu,indef
0oma,0oma,pos det refl
0sa,0sina,ps2
1-mitu,1-mitu,indef
1-sel,1-see,dem
1-selt,1-see,dem
1-sest,1-see,dem
1-sul,1-sina,ps2
1.-ma,1.-mina,ps1
1.0-ise,1.0-ise,pos det refl
1.1-sel,1.1-see,dem
1.4-sel,1.4-see,dem
1.6-sel,1.6-see,dem
10-enda,10-ise,pos det refl
10-endas,10-ise,pos det refl
10-neid,10-see,dem
10-neid,10-tema,ps3
10-selt,10-see,dem
10-sest,10-see,dem
100DPS-iga,100DPS-iga,det
100GB-sest,100GB-see,dem
100Mhz-ise,100Mhz-ise,pos det refl
100W-iga,100W-iga,det
100midagi,100miski,indef
100sel,100see,dem
101selt,101see,dem
103-selt,103-see,dem
10miljonili-sest,10miljonili-see,dem
10neid,10see,dem
10neid,10tema,ps3
10sel,10see,dem
10selt,10see,dem
10sest,10see,dem
10te,10sina,ps2
11-endal,11-ise,pos det refl
1100sel,1100see,dem
11Meie,11mina,ps1
11Sa,11sina,ps2
11Sel,11see,dem
12-selt,12-see,dem
125-sel,125-see,dem
125-sest,125-see,dem
125sel,125see,dem
125sest,125see,dem
128Mb-ise,128Mb-ise,pos det refl
12midagi,12miski,indef
12ndas-paljudel,12ndas-palju,indef
12selt,12see,dem
13-selt,13-see,dem
1300sel,1300see,dem
1337selt,1337see,dem
13mil,13mis,inter_rel
13selt,13see,dem
14-km-sel,14-km-see,dem
14-selt,14-see,dem
1491-sel,1491-see,dem
14aasta-seks,14aasta-see,dem
14selt,14see,dem
15-selt,15-see,dem
15.59-teine,15.59-teine,dem
150-liik-me-li-sest,150-liik-me-li-see,dem
1500-sel,1500-see,dem
1500sest,1500see,dem
150K-seks,150K-see,dem
15aas-ta-selt,15aas-ta-see,dem
15selt,15see,dem
16-aasta-selt,16-aasta-see,dem
16-seks,16-see,dem
16-selt,16-see,dem
1600-seks,1600-see,dem
1600-sest,1600-see,dem
160mil,160mis,inter_rel
16MB-sest,16MB-see,dem
16seks,16see,dem
16selt,16see,dem
17-aasta-selt,17-aasta-see,dem
17-seks,17-see,dem
17-sel,17-see,dem
17-selt,17-see,dem
17milline,17milline,rel
17seks,17see,dem
17selt,17see,dem
18-seks,18-see,dem
18-selt,18-see,dem
18.45-ses,18.45-see,dem
18seks,18see,dem
18selt,18see,dem
1920te,1920sina,ps2
1930te,1930sina,ps2
1940te,1940sina,ps2
1941-sel,1941-see,dem
1950te,1950sina,ps2
1960te,1960sina,ps2
1962-sel,1962-see,dem
1970te,1970sina,ps2
1971-sel,1971-see,dem
1980te,1980sina,ps2
1982-sel,1982-see,dem
1990te,1990sina,ps2
1992-sel,1992-see,dem
19mm-sest,19mm-see,dem
19selt,19see,dem
1Igal,1iga,det
1MB-ise,1MB-ise,pos det refl
1Ma,1mina,ps1
1Minu,1mina,ps1
1See,1see,dem
1Ta,1tema,ps3
1Te,1sina,ps2
1kõigi,1kõik,det
1kõik,1kõik,det
1mil,1mis,inter_rel
1sel,1see,dem
1ses,1see,dem
1te,1sina,ps2
1teise,1teine,dem
1x-selt,1x-see,dem
1ühe,1üks,dem indef
"2,8-sel","2,8-see",dem
2-mina,2-mina,ps1
2-sel,2-see,dem
2-teid,2-sina,ps2
2.6-sel,2.6-see,dem
2/3-sest,2/3-see,dem
20-midagi,20-miski,indef
20-millegagi,20-miski,indef
20-seks,20-see,dem
20-seks.,20-see,dem
20-selt,20-see,dem
200-sest,200-see,dem
2000-ses,2000-see,dem
2001-sel,2001-see,dem
2001.-sel,2001.-see,dem
2001sel,2001see,dem
2005te,2005sina,ps2
200sel,200see,dem
200selle,200see,dem
207-sel,207-see,dem
20seks,20see,dem
20sel,20see,dem
20selt,20see,dem
21-22-selt,21-22-see,dem
21-sel,21-see,dem
21-selt,21-see,dem
21.-sel,21.-see,dem
21punktili-sest,21punktili-see,dem
21seks,21see,dem
21sel,21see,dem
21selt,21see,dem
21te,21sina,ps2
22-seks,22-see,dem
22-sel,22-see,dem
22-selt,22-see,dem
220kraadi-ses,220kraadi-see,dem
22seks,22see,dem
22sel,22see,dem
22selt,22see,dem
22tol,22too,dem
23-me,23-mina,ps1
23-selt,23-see,dem
23-sest,23-see,dem
233sest,233see,dem
2350.-sellest,2350.-see,dem
23Muude,23muu,indef
23seks,23see,dem
23selt,23see,dem
24-25-selt,24-25-see,dem
24-selt,24-see,dem
2486te,2486sina,ps2
24aastane.Mida,24aastane.mis,inter_rel
24selt,24see,dem
24sest,24see,dem
25-endal,25-ise,pos det refl
25-seks,25-see,dem
25-sel,25-see,dem
25-selt,25-see,dem
250-sel,250-see,dem
250sel,250see,dem
250sest,250see,dem
25selt,25see,dem
25te,25sina,ps2
26-seks,26-see,dem
26seks,26see,dem
26selt,26see,dem
27-selt,27-see,dem
27selt,27see,dem
28-selt,28-see,dem
286te,286sina,ps2
28Muude,28muu,indef
28selt,28see,dem
29-seks,29-see,dem
29-selt,29-see,dem
291Samal,291sama,dem
29selt,29see,dem
2Ma,2mina,ps1
2Minu,2mina,ps1
2Mitu,2mitu,indef
2Samas,2sama,dem
2Seda,2see,dem
2See,2see,dem
2Teist,2sina,ps2
2Teist,2teine,dem
2XL-iga,2XL-iga,det
2a.garantii.mulle,2a.garantii.mina,ps1
2esimest,2esimene,dem
2kelle,2kes,inter_rel
2sel,2see,dem
2ses,2see,dem
2te,2sina,ps2
2teist,2sina,ps2
2teist,2teine,dem
2ühes,2üks,dem indef
3-me,3-mina,ps1
3-selt,3-see,dem
3-ses,3-see,dem
30-midagi,30-miski,indef
30-seks,30-see,dem
30-selt,30-see,dem
300-sesse,300-see,dem
300mingit,300mingi,indef
307-me,307-mina,ps1
30mil,30mis,inter_rel
30sec-ise,30sec-ise,pos det refl
30seks,30see,dem
30sel,30see,dem
30selt,30see,dem
30sesse,30see,dem
31-sel,31-see,dem
32-sel,32-see,dem
32-selt,32-see,dem
32/64MB-iga,32/64MB-iga,det
326te,326sina,ps2
32selt,32see,dem
32sest,32see,dem
33-sel,33-see,dem
33selt,33see,dem
34-selt,34-see,dem
34-sest,34-see,dem
35-selt,35-see,dem
35selt,35see,dem
36-seks,36-see,dem
36-selt,36-see,dem
36selt,36see,dem
38-selt,38-see,dem
38selt,38see,dem
39-seks,39-see,dem
39seks,39see,dem
3Iga,3iga,det
3Kes,3kes,inter_rel
3Kõigele,3kõik,det
3Mida,3mis,inter_rel
3Mina,3mina,ps1
3Need,3see,dem
3Samas,3sama,dem
3Sel,3see,dem
3Selle,3see,dem
3ma,3mina,ps1
3me,3mina,ps1
3milj.tema,3milj.tema,ps3
3minuta,3mina,ps1
4.30-selt,4.30-see,dem
40-korda-palju,40-korda-palju,indef
40-seks,40-see,dem
40-selt,40-see,dem
400mil,400mis,inter_rel
400sel,400see,dem
40me,40mina,ps1
40seks,40see,dem
40sel,40see,dem
40selt,40see,dem
40te,40sina,ps2
40x-seks,40x-see,dem
41-sel,41-see,dem
41-selt,41-see,dem
42-seks,42-see,dem
42-selt,42-see,dem
4200F-iga,4200F-iga,det
42selt,42see,dem
43-selt,43-see,dem
43selt,43see,dem
44seks,44see,dem
45-seks,45-see,dem
45-selt,45-see,dem
45minuti-ses,45minuti-see,dem
45selt,45see,dem
47-selt,47-see,dem
48-seks,48-see,dem
4802te,4802sina,ps2
48selt,48see,dem
49aas-tast,49aas-tema,ps3
49selt,49see,dem
4Iga,4iga,det
4See,4see,dem
4millegagi,4miski,indef
5-km-sel,5-km-see,dem
50-seks,50-see,dem
50-sel,50-see,dem
50-selt,50-see,dem
50-üks,50-üks,dem indef
500-mA,500-mina,ps1
500-sel,500-see,dem
500W-ise,500W-ise,pos det refl
500midagi,500miski,indef
500sel,500see,dem
50millist,50milline,rel
50seks,50see,dem
50sel,50see,dem
50selt,50see,dem
51-palju,51-palju,indef
51-sel,51-see,dem
517-sel,517-see,dem
52-selt,52-see,dem
520iga,520iga,det
525i.tal,525i.tema,ps3
53-me,53-mina,ps1
533MHz-sest,533MHz-see,dem
55-selt,55-see,dem
55seks,55see,dem
55selt,55see,dem
567esimene,567esimene,dem
56seks,56see,dem
57-selt,57-see,dem
5te,5sina,ps2
60-seks,60-see,dem
60-sel,60-see,dem
60-selt,60-see,dem
600-sel,600-see,dem
600sel,600see,dem
60seks,60see,dem
60sel,60see,dem
60selt,60see,dem
60sest,60see,dem
62-sel,62-see,dem
62-selt,62-see,dem
63-selt,63-see,dem
63m.ise,63m.ise,pos det refl
63selt,63see,dem
64sel,64see,dem
64selt,64see,dem
65-seks,65-see,dem
65-selt,65-see,dem
65-sest,65-see,dem
650.-sellele,650.-see,dem
650sel,650see,dem
65mil,65mis,inter_rel
65seks,65see,dem
65selt,65see,dem
66-seks,66-see,dem
66-selt,66-see,dem
66sel,66see,dem
67-selt,67-see,dem
684Mida,684mis,inter_rel
6Need,6see,dem
6enda,6ise,pos det refl
6mil,6mis,inter_rel
6te,6sina,ps2
6teist,6sina,ps2
6teist,6teine,dem
7-km-sel,7-km-see,dem
7-me,7-mina,ps1
7-meid,7-mina,ps1
7-sest,7-see,dem
70-seks,70-see,dem
70-selt,70-see,dem
700-sel,700-see,dem
700EEK.Mul,700EEK.mina,ps1
700sel,700see,dem
700ses,700see,dem
70seks,70see,dem
70selt,70see,dem
70te,70sina,ps2
71-selt,71-see,dem
7200rpm-ise,7200rpm-ise,pos det refl
75-aasta-seks,75-aasta-see,dem
75-seks,75-see,dem
75-selt,75-see,dem
750-sel,750-see,dem
75seks,75see,dem
75selt,75see,dem
76selt,76see,dem
77-seks,77-see,dem
79-seks,79-see,dem
7me,7mina,ps1
80-seks,80-see,dem
80-sel,80-see,dem
80-selt,80-see,dem
80millisest,80milline,rel
80seks,80see,dem
80sel,80see,dem
80selt,80see,dem
80te,80sina,ps2
8139too,8139too,dem
83-seks,83-see,dem
83p-millega,83p-mis,inter_rel
84-seks,84-see,dem
840iga,840iga,det
84Selleks,84see,dem
85-selt,85-see,dem
850000-ses,850000-see,dem
85seks,85see,dem
85sel,85see,dem
86-selt,86-see,dem
88Sel,88see,dem
88sel,88see,dem
8Muu,8muu,indef
8See,8see,dem
8cm-ise,8cm-ise,pos det refl
8neid,8see,dem
8neid,8tema,ps3
8sa,8sina,ps2
8selt,8see,dem
9-selt,9-see,dem
90-seks,90-see,dem
90-ses,90-see,dem
90seks,90see,dem
90sel,90see,dem
90te,90sina,ps2
91seks,91see,dem
93Igaüks,93igaüks,det
95seks,95see,dem
95selt,95see,dem
95te,95sina,ps2
9700M-iga,9700M-iga,det
98SEs,98see,dem
98sel,98see,dem
9See,9see,dem
9sa,9sina,ps2
A-see,A-see,dem
A-te,A-sina,ps2
A1-teine,A1-teine,dem
A2-te,A2-sina,ps2
A21-te,A21-sina,ps2
A5-te,A5-sina,ps2
A6-te,A6-sina,ps2
AGA-IgA,aga-iga,det
AK-47-te,AK-47-sina,ps2
ANN-minu,Ann-mina,ps1
ANN-nad,Ann-tema,ps3
ANNi-taolisi,anni-taoline,dem
ASVELi-taoliste,ASVELi-taoline,dem
Aas-tal,aas-tema,ps3
Aas-tas,aas-tema,ps3
Aastaküm-neid,Aastaküm-see,dem
Aastaküm-neid,Aastaküm-tema,ps3
Abeli-taolist,Abeli-taoline,dem
Absoluut-selt,absoluut-see,dem
AcdSee,Acdsee,dem
Afganistani-taolise,Afganistani-taoline,dem
Aileeni-taolise,Aileeni-taoline,dem
Aini-taolisele,Aini-taoline,dem
Aju-ti-selt,Aju-ti-see,dem
Ajuvaba-mis,ajuvaba-mis,inter_rel
Al-Qaida-taoline,Al-Qaida-taoline,dem
Al-gu-ses,Al-gu-see,dem
Al-ma,Al-mina,ps1
Alambra-taolise,Alambra-taoline,dem
Albaania-taolised,Albaania-taoline,dem
Albaania-taoliseks,Albaania-taoline,dem
Aldrichi-taolise,Aldrichi-taoline,dem
Alexanderi-taolistest,Alexanderi-taoline,dem
Algu-ses,algu-see,dem
Alkibiadese-taolise,Alkibiadese-taoline,dem
Ammende-taolisi,ammende-taoline,dem
Andi-taolised,Andi-taoline,dem
Andorra-taoliste,Andorra-taoline,dem
Andrei-taoliste,Andrei-taoline,dem
Angele-ses,Angele-see,dem
Animalsi-taolist,Animalsi-taoline,dem
AnnaEnd,Annaise,pos det refl
Annama-taoliste,Annama-taoline,dem
Annelinna-taolistesse,annelinna-taoline,dem
Anni-taolised,Anni-taoline,dem
Apotheka-taoliste,Apotheka-taoline,dem
Arbuja-oma,arbuja-oma,pos det refl
Argentiina-taolise,Argentiina-taoline,dem
Arsenali-taolise,arsenali-taoline,dem
Arturi-taolise,Arturi-taoline,dem
Aru-taoline,aru-taoline,dem
Asi_selles,Asisee,dem
Asimovi-taoliste,Asimovi-taoline,dem
Atsi-taolised,Atsi-taoline,dem
Audente-ses,Audente-see,dem
Auhind-midagi,auhind-miski,indef
Austria-taolise,Austria-taoline,dem
Autori-mina,autori-mina,ps1
Avatar-me,Avatar-mina,ps1
B.Iga,B.iga,det
BIOS-ses,BIOS-see,dem
BIOS-sest,BIOS-see,dem
Back-end,Back-ise,pos det refl
BankEnd,Bankise,pos det refl
Barbadose-taoline,Barbadose-taoline,dem
Barcelona-taolise,Barcelona-taoline,dem
Baroki-omast,baroki-oma,pos det refl
Bassajevi-taolised,Bassajevi-taoline,dem
Beebikooli-iga,beebikooli-iga,det
Berezovski-taoliste,Berezovski-taoline,dem
Beslani-taoliste,Beslani-taoline,dem
Bigarti-taolise,Bigarti-taoline,dem
Blackstari-taolised,Blackstari-taoline,dem
Blumfeldti-taolisele,Blumfeldti-taoline,dem
Boliivia-teine,Boliivia-teine,dem
Bondi-oma,Bondi-oma,pos det refl
Bondi-taolist,Bondi-taoline,dem
Bosnia-taolisteks,Bosnia-taoline,dem
Bossi-taolise,bossi-taoline,dem
Boy-seda,Boy-see,dem
Brasiilia-taoliste,Brasiilia-taoline,dem
Brüs-sel,Brüs-see,dem
Budjonnovski-taoliste,Budjonnovski-taoline,dem
Busemanni-taolisele,Busemanni-taoline,dem
Böksgardi-taolises,Böksgardi-taoline,dem
C.S.Iga,C.S.iga,det
C1-esimene,C1-esimene,dem
CD-ma,CD-mina,ps1
CO2-te,CO2-sina,ps2
CRC32-te,CRC32-sina,ps2
CS2-te,CS2-sina,ps2
Ca-pi-tal,Ca-pi-tema,ps3
Caatri-taoline,Caatri-taoline,dem
Captureiga.ma,Captureiga.mina,ps1
Car-mina,Car-mina,ps1
Carmeni-taolisel,Carmeni-taoline,dem
Centa-taolise,Centa-taoline,dem
Cipollini-taolistest,Cipollini-taoline,dem
Clintoni-taoline,Clintoni-taoline,dem
Clintoni-taolistele,Clintoni-taoline,dem
Coca-kõige,Coca-kõik,det
Colemani-taoline,Colemani-taoline,dem
Commander-ise,Commander-ise,pos det refl
Continen-tal,Continen-tema,ps3
Creationi-taolist,Creationi-taoline,dem
Crouchi-taolist,Crouchi-taoline,dem
D2-te,D2-sina,ps2
DELFI-s-see,Delfi-s-see,dem
Daami-taolise,daami-taoline,dem
Dae-su,Dae-sina,ps2
Daewoo-taolise,Daewoo-taoline,dem
Damereni-taolist,Damereni-taoline,dem
Dannevir-kes,Dannevir-kes,inter_rel
DeMille,Demis,inter_rel
Deixa-me,Deixa-mina,ps1
Delfi-see,Delfi-see,dem
Delfi-taoline,Delfi-taoline,dem
Dementjevi-Surikovi-taoliste,Dementjevi-Surikovi-taoline,dem
Detailsi-taoliseks,Detailsi-taoline,dem
DiCaprio-taolised,DiCaprio-taoline,dem
DigiDogi-taoliste,digidogi-taoline,dem
Distrubuted-taolised,Distrubuted-taoline,dem
Diveci-taolised,Diveci-taoline,dem
Donneri-taoline,Donneri-taoline,dem
Donneri-taolisi,Donneri-taoline,dem
Draco-taoline,Draco-taoline,dem
Dublini-taoliseks,Dublini-taoline,dem
DviTal,Dvitema,ps3
Dyrrelmatti-taoliselt,Dyrrelmatti-taoline,dem
E-mu,E-mina,ps1
E2-te,E2-sina,ps2
EE-sellel,ee-see,dem
EGeeni-taoliste,EGeeni-taoline,dem
EIKELLEGI,eikeegi,indef
EIKELLELEGI,eikeegi,indef
EL-IGA,EL-iga,det
ELi-taoline,ELi-taoline,dem
END,ise,pos det refl
ENDA,ise,pos det refl
ENDAGA,ise,pos det refl
ENDAKS,ise,pos det refl
ENDAL,ise,pos det refl
ENDALE,ise,pos det refl
ENDALEGI,ise,pos det refl
ENDALGI,ise,pos det refl
ENDAS,ise,pos det refl
ENDASSE,ise,pos det refl
ENDAST,ise,pos det refl
ENDI,ise,pos det refl
ENESE,ise,pos det refl
ENESELE,ise,pos det refl
ENESESSE,ise,pos det refl
ENESEST,ise,pos det refl
ENESTE,ise,pos det refl
ENESTES,ise,pos det refl
ENIVEI-see,ENIVEI-see,dem
ENNAST,ise,pos det refl
ENdale,ise,pos det refl
ESIMENE,esimene,dem
ESIMESE,esimene,dem
ESIMESED,esimene,dem
ESIMESEGA,esimene,dem
ESIMESEKS,esimene,dem
ESIMESEL,esimene,dem
ESIMESELE,esimene,dem
ESIMESENA,esimene,dem
ESIMESES,esimene,dem
ESIMESEST,esimene,dem
ESIMESI,esimene,dem
ESIMESSE,esimene,dem
ESIMEST,esimene,dem
ESIMESTE,esimene,dem
ESIMESTEST,esimene,dem
ESIMESse,esimene,dem
Eaker.ma,Eaker.mina,ps1
Ebola-taolise,ebola-taoline,dem
Eda-si-sel,Eda-si-see,dem
Ee-ma,ee-mina,ps1
Eel-kõige,eel-kõik,det
Eel-mi-sel,Eel-mi-see,dem
Eenmaa-taolised,Eenmaa-taoline,dem
Ees-ti-su-gu-ses,Ees-ti-su-gu-see,dem
Eesti-Soo-me,Eesti-soo-mina,ps1
Eesti-ma,Eesti-mina,ps1
Eesti-omast,Eesti-oma,pos det refl
Eesti-taoline,Eesti-taoline,dem
Eesti-taolise,Eesti-taoline,dem
Eesti-taolised,Eesti-taoline,dem
Eesti-taoliseks,Eesti-taoline,dem
Eesti-taolisel,Eesti-taoline,dem
Eesti-taolisele,Eesti-taoline,dem
Eesti-taoliselt,Eesti-taoline,dem
Eesti-taolises,Eesti-taoline,dem
Eesti-taolisesse,Eesti-taoline,dem
Eesti-taolist,Eesti-taoline,dem
Eesti-taoliste,Eesti-taoline,dem
Eesti-taolistel,Eesti-taoline,dem
Eesti-taolistele,Eesti-taoline,dem
Eesti-taolistes,Eesti-taoline,dem
Eesti-taolistest,Eesti-taoline,dem
Eestlane-kes,eestlane-kes,inter_rel
Egiptuse-ma,Egiptuse-mina,ps1
Ehitajateks-oma,ehitajateks-oma,pos det refl
Ehitusfir-ma,Ehitusfir-mina,ps1
Ehitustööriis-tast,ehitustööriis-tema,ps3
Ehk-meid,ehk-mina,ps1
Ei-see-ega-teine,ei-see-ega-teine,dem
Ei-tea-kelle,ei-tea-kes,inter_rel
Eikedagi,eikeegi,indef
Eikeegi,eikeegi,indef
Eikellegagi,eikeegi,indef
Eikellegi,eikeegi,indef
Eikellelegi,eikeegi,indef
Eil-sest,Eil-see,dem
Eimidagi,eimiski,indef
Eimillegi,eimiski,indef
Eimillestki,eimiski,indef
Eimiski,eimiski,indef
Ekke-keegi,Ekke-keegi,indef
Eks-te,eks-sina,ps2
Elcoteqi-taolisi,Elcoteqi-taoline,dem
Elcoteqi-taolistel,Elcoteqi-taoline,dem
Elektrijaam-Energiamüük-Soojusvõrk-ME,elektrijaam-energiamüük-soojusvõrk-mina,ps1
Elva-taolisse,Elva-taoline,dem
Emb-Kumb,emb-kumb,det
Emb-kumb,emb-kumb,det
Emba-kumba,emb-kumb,det
Emma-kumma,emb-kumb,det
Emmal-kummal,emb-kumb,det
End,ise,pos det refl
Enda,ise,pos det refl
EndaL,ise,pos det refl
Endaga,ise,pos det refl
Endagi,ise,pos det refl
Endaks,ise,pos det refl
Endal,ise,pos det refl
Endale,ise,pos det refl
Endalegi,ise,pos det refl
Endalgi,ise,pos det refl
Endalt,ise,pos det refl
Endas,ise,pos det refl
Endasse,ise,pos det refl
Endast,ise,pos det refl
Endastki,ise,pos det refl
Endi,ise,pos det refl
Endid,ise,pos det refl
Endiga,ise,pos det refl
Endiks,ise,pos det refl
Endil,ise,pos det refl
Endile,ise,pos det refl
Endilegi,ise,pos det refl
Endilt,ise,pos det refl
Endina,ise,pos det refl
Endis,ise,pos det refl
Endis-,ise,pos det refl
Endisse,ise,pos det refl
Endist,ise,pos det refl
Enese,ise,pos det refl
Enese-,ise,pos det refl
Enesega,ise,pos det refl
Enesegi,ise,pos det refl
Eneseks,ise,pos det refl
Enesel,ise,pos det refl
Enesele,ise,pos det refl
Eneselegi,ise,pos det refl
Eneselgi,ise,pos det refl
Eneselt,ise,pos det refl
Eneses,ise,pos det refl
Enesesse,ise,pos det refl
Enesest,ise,pos det refl
Enesestki,ise,pos det refl
Eneste,ise,pos det refl
Englo-taoliste,Englo-taoline,dem
Enimexi-taolisel,Enimexi-taoline,dem
Ennast,ise,pos det refl
Ennastki,ise,pos det refl
Enne-kõike,Enne-kõik,det
Ennnast,ise,pos det refl
Enquisti-taolised,Enquisti-taoline,dem
ErTal,Ertema,ps3
Eras-mus,eras-mina,ps1
Ericu-taolise,Ericu-taoline,dem
Eridano-seks,Eridano-see,dem
Eripruul-selle,eripruul-see,dem
Esi-me-sel,esi-me-see,dem
Esime-sel,Esime-see,dem
Esimene,esimene,dem
Esimene-teine,esimene-teine,dem
Esimenegi,esimene,dem
Esimese,esimene,dem
Esimese-teise,esimese-teine,dem
Esimesed,esimene,dem
Esimesega,esimene,dem
Esimesegi,esimene,dem
Esimeseks,esimene,dem
Esimesel,esimene,dem
Esimesel-teisel,esimesel-teine,dem
Esimesele,esimene,dem
Esimeselt,esimene,dem
Esimesena,esimene,dem
Esimeses,esimene,dem
Esimeses-teises,esimeses-teine,dem
Esimesesse,esimene,dem
Esimesest,esimene,dem
Esimesi,esimene,dem
Esimesi-,esimene,dem
Esimesil,esimene,dem
Esimesse,esimene,dem
Esimesse-teise,esimesse-teine,dem
Esimest,esimene,dem
Esimest-teist,esimest-sina,ps2
Esimest-teist,esimest-teine,dem
Esimeste,esimene,dem
Esimestega,esimene,dem
Esimesteks,esimene,dem
Esimestel,esimene,dem
Esimestele,esimene,dem
Esimestelt,esimene,dem
Esimestena,esimene,dem
Esimestes,esimene,dem
Esimestesse,esimene,dem
Esimestest,esimene,dem
Esiteks-me,esiteks-mina,ps1
Estili-taoliste,Estili-taoline,dem
Estonia-nende,Estonia-see,dem
Estonia-nende,Estonia-tema,ps3
Estonia-taolise,Estonia-taoline,dem
Estonia-taolisi,Estonia-taoline,dem
Et-te-val-mis-ta-mi-sel,Et-te-val-mis-ta-mi-see,dem
Ettevõt-teid,Ettevõt-sina,ps2
Eu-roo-pas-see,Eu-roo-pas-see,dem
Euroopa-teile,Euroopa-sina,ps2
Eurospordi-taolise,eurospordi-taoline,dem
